Family,Scientific name,Common name(s),Red List status,Population trend
NATRICIDAE,Amphiesma taronensis,Taron Keelback,NT,unknown
AMPHISBAENIDAE,Amphisbaena hyporissor,Puerto Rican Dusky Amphisbaena ,NT,unknown
AMPHISBAENIDAE,Amphisbaena schmidti,"Puerto Rican Dusky Amphisbaena, Tiburon Stout Anole ",NT,decreasing
DIPSADIDAE,Apostolepis multicincta,,NT,unknown
NATRICIDAE,Balanophis ceylonensis,"Blossom Krait, Sri Lankan Keelback",NT,unknown
NATRICIDAE,Clonophis kirtlandii,Kirtland's Snake,NT,decreasing
PSEUDOXYRHOPHIIDAE,Compsophis albiventris,,NT,unknown
PSEUDOXYRHOPHIIDAE,Compsophis fatsibe,,NT,unknown
COLUBRIDAE,Conopsis amphisticha,,NT,stable
VIPERIDAE,Daboia deserti,Desert Viper,NT,decreasing
VIPERIDAE,Daboia mauritanica,Moorish Viper,NT,decreasing
ELAPIDAE,Echiopsis curta,Bardick,NT,decreasing
COLUBRIDAE,Elaphe quatuorlineata,Four-lined Snake,NT,decreasing
COLUBRIDAE,Hemerophis socotrae,Socotran Racer,NT,unknown
PSEUDOXYRHOPHIIDAE,Heteroliodon lava,,NT,decreasing
ELAPIDAE,Hoplocephalus stephensii,Stephen's Banded Snake,NT,decreasing
ELAPIDAE,Hydrophis pacificus,"Large-headed Seasnake, Pacific Sea Snake",NT,decreasing
COLUBRIDAE,Lampropeltis ruthveni,,NT,decreasing
ELAPIDAE,Laticauda frontalis,Yellow-lipped Sea Snake,NT,unknown
ELAPIDAE,Laticauda guineai,,NT,unknown
ELAPIDAE,Laticauda semifasciata,Chinese Sea Snake,NT,unknown
PSEUDOXYRHOPHIIDAE,Liophidium pattoni,,NT,decreasing
PSEUDOXYRHOPHIIDAE,Liopholidophis dimorphus,,NT,stable
PSEUDOXYRHOPHIIDAE,Lycodryas carleti,,NT,unknown
PSEUDOXYRHOPHIIDAE,Lycodryas sanctijohannis,St. Johann's Tree Snake,NT,unknown
COLUBRIDAE,Macroprotodon brevis,False Smooth Snake,NT,decreasing
VIPERIDAE,Montivipera raddei,"Armenian Viper, Armenian Viper, Radde's ( Rock) Viper",NT,decreasing
ELAPIDAE,Naja philippinensis,Philippine Common Cobra,NT,decreasing
NATRICIDAE,Nerodia harteri,"Brazos River Watersnake, Brazos Watersnake, Brazos Water Snake",NT,stable
NATRICIDAE,Nerodia paucimaculata,"Concho Watersnake, Concho Water Snake",NT,stable
DIPSADIDAE,Ninia espinali,Espinal's Coffee Snake,NT,unknown
COLUBRIDAE,Oligodon ancorus,Northern Short-headed Snake,NT,decreasing
COLUBRIDAE,Oligodon lungshenensis,,NT,unknown
COLUBRIDAE,Oligodon perkinsi,Perkin's Short-headed Snake,NT,decreasing
NATRICIDAE,Opisthotropis andersonii,"Anderson's Mountain Keelback, Anderson's Stream Snake",NT,decreasing
NATRICIDAE,Opisthotropis daovantieni,Dao Van Tien's Stream Snake,NT,unknown
NATRICIDAE,Opisthotropis guangxiensis,Guanxi Mountain Keelback,NT,unknown
COLUBRIDAE,Pantherophis gloydi,"Eastern Foxsnake, Eastern Fox Snake",NT,decreasing
VIPERIDAE,Parias malcolmi,Kinabalu Green Pit Viper,NT,unknown
VIPERIDAE,Protobothrops cornutus,Horned Pit Viper,NT,unknown
PSEUDOXYRHOPHIIDAE,Pseudoxyrhopus ambreensis,,NT,unknown
PSEUDOXYRHOPHIIDAE,Pseudoxyrhopus analabe,,NT,decreasing
PSEUDOXYRHOPHIIDAE,Pseudoxyrhopus imerinae,Plateau Brook Snake,NT,unknown
