Season Number,Episode Number,Episode Title,Pitch Number,Startup Name,Industry,Business Description,Company Website,Number of Presenters,Male Presenters,Female Presenters,Couple Presenters,Pitchers Average Age,Started in,Pitchers City,Pitchers State,Yearly Revenue,Monthly Sales,Gross Margin,Original Ask Amount,Original Ask Equity,Valuation Requested,Received Offer,Accepted Offer,Total Deal Amount,Total Deal Equity,Total Deal Debt,Valuation Offered,Ashneer Investment Amount,Ashneer Investment Equity,Ashneer Debt Amount,Namita Investment Amount,Namita Investment Equity,Namita Debt Amount,Anupam Investment Amount,Anupam Investment Equity,Anupam Debt Amount,Vineeta Investment Amount,Vineeta Investment Equity,Vineeta Debt Amount,Aman Investment Amount,Aman Investment Equity,Aman Debt Amount,Peyush Investment Amount,Peyush Investment Equity,Peyush Debt Amount,Ghazal Investment Amount,Ghazal Investment Equity,Ghazal Debt Amount,Number of sharks in deal
1,28,Meeting The New India Minds,89,Humpy A2,Food,Organic Milk A2 Products,,3,2,1,,,2017,Pune,Maharashtra,208,,44,75,4,1875,1,1,100,15,,667,,,,0,0,,0,0,,33.33,5,,,,,33.33,5,,33.33,5,,3
1,28,Meeting The New India Minds,90,Kunafa World,Food,Kunafa food products,,2,1,1,,,2018,Mangalore,Karnataka,200,3000000,30,90,5,1800,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,28,Meeting The New India Minds,91,Gold Safe Solutions,Manufacturing,Anti-Suicidal Fan Rod,,2,2,,0,,2017,Mumbai,Maharashtra,50,,25,50,5,1000,1,1,50,30,,167,,,,0,0,,0,0,,16.66,10,,,,,16.66,10,,16.66,10,,3
1,29,Businesses Of Tomorrow,92,Wakao Foods,Food,Jackfruit Products,,1,1,,0,,2021,Goa,Goa,,600000,,75,5,1500,1,1,75,21,,357,,,,25,7,,0,0,,25,7,,,,,0,0,,25,7,,3
1,29,Businesses Of Tomorrow,93,PDD Falcon,Manufacturing,Stainless Steel Items,,2,1,1,,,2018,Gandhinagar,Gujarat,272,,30,75,3,2500,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1,29,Businesses Of Tomorrow,94,PlayBoxTV,Services,Streaming Platform,,2,2,,0,,,Mumbai,Maharashtra,1020,,,100,3.5,2857,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1,30,Sharks Ki Expertise,95,Sippline,Manufacturing,Portable Glass Attachment Drinking Shields,,1,1,,0,,2019,,,,,,75,15,500,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,30,Sharks Ki Expertise,96,Kabaddi Adda,Sports,All-Kabaddi App,,2,2,,0,,2019,,,250,,,80,1,8000,1,1,80,6,,1333,0,0,,40,3,,0,0,,40,3,,0,0,,,,,,,,2
1,30,Sharks Ki Expertise,97,Shades of Spring,Beauty/Fashion,Flowers,,2,1,1,,,,Bangalore,Karnataka,900,,29,300,1,30000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,30,Sharks Ki Expertise,98,Scholify,Education,Scholarship Platform,,1,1,,0,,,Bangalore,Karnataka,,,,50,7.5,667,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,31,Entrepreneurship Ki Raah,99,Scrapshala,Manufacturing,Handmade Reusable Scrap Materials,,2,,2,0,,,Banaras,Uttar Pradesh,,,,50,10,500,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,31,Entrepreneurship Ki Raah,100,Sabjikothi,Manufacturing,Vegetables Storage,,2,1,1,,,,,,0,,,60,2.5,2400,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,31,Entrepreneurship Ki Raah,101,AyuRythm,Medical,Ayurvedic Wellness App,,3,3,,0,,,,,,,,75,2,3750,1,1,75,2.68,,2799,0,0,,0,0,,0,0,,0,0,,75,2.68,,,,,,,,1
1,31,Entrepreneurship Ki Raah,102,Astrix,Manufacturing,Smart Locks Qtouch,,2,1,1,,,2021,Coimbatore,Tamil Nadu,,1800000,,75,3,2500,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,32,The Road To Success,103,Thea and Sid,Services,Proposal Solutions,,2,,2,0,,,,,16,1000000,75,80,7,1143,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,32,The Road To Success,104,ExperentialEtc,Technology,Technology layered advertisement services,,2,2,,0,,2017,,,100,,,200,4,5000,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1,32,The Road To Success,105,GrowFitter,Technology,Rewards App,,2,2,,0,,2021,,,170,,,50,1,5000,1,1,50,2,,2500,0,0,,0,0,,0,0,,,,,50,2,,0,0,,,,,1
1,32,The Road To Success,106,C3 Med-Tech,Medical,Portable opthalmic vision devices,,2,1,1,,,,,,,,,35,6,583,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1,33,Life-Changing Ideas,107,Colour Me Mad - CMM,Beauty/Fashion,Insoles,,2,1,1,,,,,,,66000,,40,10,400,1,1,40,25,,160,0,0,,40,25,,0,0,,,,,0,0,,0,0,,,,,1
1,33,Life-Changing Ideas,108,Mavi's,Food,Vegan Fermented Food,,2,1,1,,,2018,,,,,,40,5,800,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,33,Life-Changing Ideas,109,Tweek Labs,Sports,Sportswear,,4,4,,0,,,,,,,,40,2,2000,1,1,60,10,,600,20,3.33,,0,0,,20,3.33,,,,,0,0,,20,3.33,,,,,3
1,33,Life-Changing Ideas,110,Proxgy,Technology,VR,,2,2,,0,,,Delhi,Delhi,,,,35,1,3500,1,1,100,10,,1000,50,5,,0,0,,0,0,,,,,0,0,,50,5,,,,,2
1,34,Scaling Ambitions,111,Nomad Food Project,Food,Bacon Jams Relishes,,2,2,,0,,2019,"Pune, Delhi","Maharashtra, Delhi",,300000,70,40,10,400,1,1,40,20,,200,10,5,,10,5,,0,0,,10,5,,0,0,,0,0,,10,5,,4
